,GP  Games played,GS  Games started,MPG  Minutes Per Game,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,Player,Position,Team
0,17,4,13.2,13.0,20.0,33.0,1.9,,,,,,Anthony Gill,PF,WAS
1,19,2,18.1,4.0,31.0,35.0,1.8,,,,,,Danuel House Jr.,SF,PHI
2,20,3,23.6,6.0,30.0,36.0,1.8,,,,,,Tyus Jones,PG,MEM
3,18,1,14.8,5.0,28.0,33.0,1.8,,,,,,Moses Moody,SF,GS
4,17,8,23.4,7.0,23.0,30.0,1.8,,,,,,Cam Reddish,SF,NY
5,19,0,17.8,9.0,23.0,32.0,1.7,,,,,,Goran Dragic,PG,CHI
6,18,0,17.2,8.0,22.0,30.0,1.7,,,,,,R.J. Hampton,PG,ORL
7,15,1,10.6,3.0,22.0,25.0,1.7,,,,,,Davon Reed,SG,DEN
8,18,0,13.2,7.0,24.0,31.0,1.7,,,,,,Derrick Rose,PG,NY
9,15,1,10.2,15.0,9.0,24.0,1.6,,,,,,Robin Lopez,C,CLE
10,15,0,15.8,4.0,20.0,24.0,1.6,,,,,,Jordan McLaughlin,PG,MIN
11,14,0,11.5,15.0,7.0,22.0,1.6,,,,,,Zeke Nnaji,PF,DEN
12,20,0,16.1,3.0,26.0,29.0,1.5,,,,,,Devonte' Graham,PG,NO
13,19,1,17.8,8.0,20.0,28.0,1.5,,,,,,Aaron Holiday,PG,ATL
14,17,0,6.4,10.0,16.0,26.0,1.5,,,,,,Josh Okogie,SF,PHO
15,16,2,10.8,8.0,14.0,22.0,1.4,,,,,,Dalano Banton,PG,TOR
16,18,0,14.8,3.0,22.0,25.0,1.4,,,,,,Daishen Nix,PG,HOU
17,17,2,13.8,1.0,23.0,24.0,1.4,,,,,,Kendrick Nunn,SG,LAL
18,18,8,15.4,5.0,20.0,25.0,1.4,,,,,,Edmond Sumner,PG,BKN
19,16,0,15.2,1.0,22.0,23.0,1.4,,,,,,Cameron Thomas,SG,BKN
20,15,0,7.1,5.0,14.0,19.0,1.3,,,,,,Josh Christopher,SG,HOU
21,15,0,8.1,2.0,18.0,20.0,1.3,,,,,,Isaiah Joe,SG,OKC
22,19,1,19.1,2.0,22.0,24.0,1.3,,,,,,Davion Mitchell,PG,SAC
23,17,3,11.2,4.0,16.0,20.0,1.2,,,,,,Matisse Thybulle,SF,PHI
24,18,3,13.1,9.0,11.0,20.0,1.1,,,,,,Amir Coffey,SG,LAC
25,17,0,13.2,2.0,17.0,19.0,1.1,,,,,,Garrison Mathews,SF,HOU
26,18,0,16.8,1.0,16.0,17.0,0.9,,,,,,Justin Holiday,SF,ATL
27,16,2,13.9,4.0,10.0,14.0,0.9,,,,,,Cory Joseph,SG,DET
28,20,0,11.0,5.0,11.0,16.0,0.8,,,,,,Patty Mills,PG,BKN
29,20,20,,,,,,225.0,11.3,53.0,2.7,4.2,Tyrese Haliburton,PG,IND
30,20,20,,,,,,188.0,9.4,70.0,3.5,2.7,Trae Young,PG,ATL
31,17,17,,,,,,149.0,8.8,55.0,3.2,2.7,Nikola Jokic,C,DEN
32,18,18,,,,,,151.0,8.4,63.0,3.5,2.4,Luka Doncic,PG,DAL
33,15,15,,,,,,121.0,8.1,52.0,3.5,2.3,Darius Garland,PG,CLE
34,17,17,,,,,,134.0,7.9,25.0,1.5,5.4,Mike Conley,PG,UTA
35,17,17,,,,,,130.0,7.6,64.0,3.8,2.0,Ja Morant,PG,MEM
36,19,19,,,,,,143.0,7.5,40.0,2.1,3.6,Marcus Smart,PG,BOS
37,15,14,,,,,,111.0,7.4,50.0,3.3,2.2,Jrue Holiday,PG,MIL
38,18,3,,,,,,132.0,7.3,68.0,3.8,1.9,Russell Westbrook,PG,LAL
39,19,19,,,,,,137.0,7.2,45.0,2.4,3.0,Draymond Green,PF,GS
40,19,19,,,,,,135.0,7.1,55.0,2.9,2.5,Stephen Curry,PG,GS
41,20,20,,,,,,141.0,7.1,41.0,2.1,3.4,Tre Jones,PG,SA
42,20,20,,,,,,133.0,6.7,34.0,1.7,3.9,Jalen Brunson,PG,NY
43,21,21,,,,,,139.0,6.6,55.0,2.6,2.5,Dejounte Murray,PG,ATL
44,21,21,,,,,,138.0,6.6,57.0,2.7,2.4,D'Angelo Russell,PG,MIN
45,14,14,,,,,,93.0,6.6,24.0,1.7,3.9,Fred VanVleet,PG,TOR
46,19,19,,,,,,121.0,6.4,48.0,2.5,2.5,Domantas Sabonis,C,SAC
47,21,21,,,,,,130.0,6.2,53.0,2.5,2.5,Kyle Lowry,PG,MIA
48,20,20,,,,,,121.0,6.1,63.0,3.2,1.9,Shai Gilgeous-Alexander,SG,OKC
49,17,17,,,,,,104.0,6.1,36.0,2.1,2.9,CJ McCollum,PG,NO
50,19,19,,,,,,115.0,6.1,72.0,3.8,1.6,Kevin Porter,PG,HOU
51,18,18,,,,,,108.0,6.0,46.0,2.6,2.3,De'Aaron Fox,PG,SAC
52,20,20,,,,,,115.0,5.8,53.0,2.7,2.2,Devin Booker,SG,PHO
53,17,12,,,,,,99.0,5.8,39.0,2.3,2.5,Ben Simmons,PG,BKN
