NoneUnnamed: 1,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
0,1,Mikal Bridges,26,18,665,17.0,0.638,0.3,0.205,3.4,13.0,8.2,12.8,1.6,2.4,8.4,16.1,,1.5,0.9,2.4,0.173,,2.1,1.0,3.2,0.9
1,2,Devin Booker,26,18,657,22.0,0.586,0.314,0.309,2.7,12.5,7.6,25.5,1.3,1.4,9.8,30.0,,1.8,0.7,2.5,0.182,,4.9,-0.3,4.6,1.1
2,3,Deandre Ayton,24,16,457,19.6,0.621,0.06,0.185,10.8,24.0,17.3,11.5,1.0,2.1,13.1,21.4,,0.9,0.7,1.5,0.162,,1.2,0.1,1.3,0.4
3,4,Torrey Craig,32,18,408,13.8,0.595,0.557,0.104,8.5,15.7,12.0,8.4,1.6,3.1,10.5,13.0,,0.6,0.6,1.2,0.143,,0.3,0.9,1.2,0.3
4,5,Cameron Payne,28,16,399,16.0,0.55,0.4,0.163,1.7,10.3,5.9,29.7,2.0,0.9,15.0,25.7,,0.3,0.5,0.8,0.098,,1.0,-0.6,0.4,0.2
5,6,Damion Lee,30,18,371,12.6,0.63,0.686,0.186,3.9,14.4,9.1,8.4,1.2,0.2,9.8,14.1,,0.6,0.4,1.0,0.133,,1.4,-0.1,1.4,0.3
6,7,Chris Paul,37,10,302,17.6,0.522,0.434,0.447,1.9,15.1,8.4,39.3,2.8,0.6,14.2,15.0,,0.7,0.5,1.2,0.192,,1.4,2.2,3.6,0.4
7,8,Jock Landale,27,15,222,17.3,0.574,0.31,0.321,12.1,19.0,15.5,7.2,1.1,4.8,11.1,20.8,,0.4,0.3,0.7,0.151,,-1.7,-0.1,-1.8,0.0
8,9,Cameron Johnson,26,8,202,17.2,0.592,0.614,0.133,2.8,12.4,7.5,9.9,2.2,1.3,2.2,19.0,,0.5,0.3,0.7,0.172,,3.4,0.9,4.2,0.3
9,10,Bismack Biyombo,30,14,186,11.5,0.526,0.0,0.385,8.4,24.5,16.4,7.6,0.8,11.0,26.0,14.2,,-0.1,0.4,0.2,0.064,,-5.5,3.2,-2.3,0.0
10,11,Landry Shamet,25,9,146,10.3,0.565,0.66,0.26,1.5,3.1,2.3,10.1,1.7,0.6,12.6,18.7,,0.1,0.1,0.2,0.07,,-1.6,-0.8,-2.4,0.0
11,12,Duane Washington Jr.,22,11,113,7.5,0.458,0.478,0.029,0.0,7.1,3.5,13.7,0.4,0.0,9.1,29.1,,-0.2,0.1,-0.2,-0.068,,-3.1,-3.9,-7.0,-0.1
12,13,Josh Okogie,24,17,109,6.2,0.367,0.452,0.323,10.3,16.7,13.5,6.9,3.2,4.1,20.3,17.4,,-0.3,0.2,0.0,-0.018,,-7.3,1.7,-5.6,-0.1
13,14,Dario Šarić,28,8,75,9.5,0.378,0.385,0.154,16.4,22.8,19.6,12.0,2.0,0.0,12.6,18.1,,0.0,0.1,0.1,0.045,,-3.9,-1.3,-5.2,-0.1
14,15,Ish Wainright,28,3,33,14.2,0.5,0.833,0.0,20.3,13.8,17.1,11.9,0.0,5.4,14.3,18.1,,0.0,0.0,0.1,0.114,,0.1,-0.8,-0.7,0.0
