,GP  Games played,GS  Games started,STL  Total Steals,SPG  Steals Per Game,BLK  Total Blocks,BPG  Blocks Per Game,Player,Position,Team
0,21,0,6.0,0.29,,,Cedi Osman,SF,CLE
1,15,1,4.0,0.27,,,Davon Reed,SG,DEN
2,15,0,4.0,0.27,,,Naz Reid,C,MIN
3,19,5,5.0,0.26,,,Mo Bamba,C,ORL
4,19,4,5.0,0.26,,,Amir Coffey,SG,LAC
5,19,1,5.0,0.26,,,Jordan Nwora,SG,MIL
6,16,1,4.0,0.25,,,Caleb Houstan,SG,ORL
7,20,5,5.0,0.25,,,Shaedon Sharpe,SG,POR
8,17,4,4.0,0.24,,,Anthony Gill,PF,WAS
9,21,0,5.0,0.24,,,Sam Hauser,SF,BOS
10,18,0,4.0,0.22,,,Dewayne Dedmon,C,MIA
11,18,5,4.0,0.22,,,Montrezl Harrell,C,PHI
12,18,0,4.0,0.22,,,Justin Holiday,SF,ATL
13,14,0,3.0,0.21,,,Zeke Nnaji,PF,DEN
14,15,0,3.0,0.2,,,Josh Christopher,SG,HOU
15,20,0,4.0,0.2,,,Walker Kessler,C,UTA
16,20,9,4.0,0.2,,,Christian Koloko,C,TOR
17,15,7,3.0,0.2,,,JaVale McGee,C,DAL
18,20,0,4.0,0.2,,,Patty Mills,PG,BKN
19,16,3,3.0,0.19,,,DeAndre Jordan,C,DEN
20,16,0,2.0,0.13,,,Luke Kornet,C,BOS
21,16,1,2.0,0.13,,,Kevin Love,PF,CLE
22,15,1,2.0,0.13,,,Noah Vonleh,C,BOS
23,17,2,2.0,0.12,,,Kendrick Nunn,SG,LAL
24,19,0,2.0,0.11,,,Doug McDermott,SF,SA
25,21,0,2.0,0.1,,,Nick Richards,C,CHA
26,15,1,1.0,0.07,,,Robin Lopez,C,CLE
27,16,0,1.0,0.06,,,Duncan Robinson,SG,MIA
28,14,0,0.0,0.0,,,Serge Ibaka,PF,MIL
29,19,19,,,55.0,2.89,Brook Lopez,C,MIL
30,15,15,,,39.0,2.6,Myles Turner,C,IND
31,17,17,,,39.0,2.29,Anthony Davis,C,LAL
32,21,21,,,45.0,2.14,Nicolas Claxton,C,BKN
33,21,16,,,42.0,2.0,Bol Bol,PF,ORL
34,22,22,,,40.0,1.82,Ivica Zubac,C,LAC
35,22,22,,,39.0,1.77,Kevin Durant,PF,BKN
36,18,14,,,30.0,1.67,Aleksej Pokusevski,PF,OKC
37,16,2,,,26.0,1.63,Bismack Biyombo,C,PHO
38,20,20,,,31.0,1.55,Kristaps Porzingis,C,WAS
39,19,19,,,29.0,1.53,Clint Capela,C,ATL
40,20,0,,,30.0,1.5,Walker Kessler,C,UTA
41,21,21,,,30.0,1.43,John Collins,PF,ATL
42,21,21,,,29.0,1.38,Evan Mobley,PF,CLE
43,19,19,,,26.0,1.37,Rudy Gobert,C,MIN
44,19,19,,,26.0,1.37,Jaden McDaniels,SF,MIN
45,16,0,,,21.0,1.31,Darius Bazley,PF,OKC
46,17,17,,,21.0,1.24,Jarrett Allen,C,CLE
47,19,3,,,23.0,1.21,Isaiah Jackson,C,IND
48,20,20,,,24.0,1.2,Shai Gilgeous-Alexander,SG,OKC
49,20,9,,,24.0,1.2,Christian Koloko,C,TOR
50,20,20,,,24.0,1.2,Jayson Tatum,PF,BOS
51,16,0,,,18.0,1.13,Luke Kornet,C,BOS
52,17,14,,,18.0,1.06,Alperen Sengun,C,HOU
53,20,20,,,21.0,1.05,Mikal Bridges,SF,PHO
54,21,7,,,22.0,1.05,Isaiah Hartenstein,C,NY
55,16,16,,,16.0,1.0,Giannis Antetokounmpo,PF,MIL
56,20,3,,,20.0,1.0,Drew Eubanks,C,POR
57,17,17,,,17.0,1.0,Al Horford,C,BOS
58,20,20,,,20.0,1.0,Jakob Poeltl,C,SA
59,15,2,,,15.0,1.0,Jericho Sims,C,NY
60,19,19,,,19.0,1.0,Jabari Smith,PF,HOU
61,20,20,,,20.0,1.0,Patrick Williams,PF,CHI
62,19,19,,,18.0,0.95,Steven Adams,C,MEM
63,19,15,,,18.0,0.95,Santi Aldama,PF,MEM
64,20,20,,,19.0,0.95,OG Anunoby,SF,TOR
65,20,1,,,19.0,0.95,Brandon Clarke,PF,MEM
66,20,20,,,19.0,0.95,Jerami Grant,PF,POR
67,17,16,,,16.0,0.94,Scottie Barnes,PF,TOR
68,17,17,,,16.0,0.94,Aaron Gordon,PF,DEN
69,20,0,,,18.0,0.9,Jalen Duren,C,DET
70,21,0,,,19.0,0.9,Daniel Gafford,C,WAS
71,21,21,,,19.0,0.9,P.J. Washington,PF,CHA
72,16,16,,,14.0,0.88,Herbert Jones,SG,NO
73,21,0,,,18.0,0.86,Nick Richards,C,CHA
74,20,2,,,17.0,0.85,Onyeka Okongwu,C,ATL
75,20,20,,,17.0,0.85,Jalen Smith,PF,IND
76,19,19,,,16.0,0.84,Bam Adebayo,C,MIA
77,18,18,,,15.0,0.83,Jusuf Nurkic,C,POR
78,22,1,,,18.0,0.82,Nicolas Batum,PF,LAC
79,16,0,,,13.0,0.81,Chris Boucher,C,TOR
80,20,5,,,16.0,0.8,Alex Caruso,SG,CHI
81,20,12,,,16.0,0.8,Torrey Craig,SF,PHO
82,19,5,,,15.0,0.79,Mo Bamba,C,ORL
83,18,0,,,14.0,0.78,Larry Nance Jr.,PF,NO
84,17,0,,,13.0,0.76,Jock Landale,C,PHO
85,16,2,,,12.0,0.75,Kyle Anderson,SF,MIN
86,20,20,,,15.0,0.75,Nikola Vucevic,C,CHI
87,20,20,,,15.0,0.75,Andrew Wiggins,SF,GS
88,23,23,,,17.0,0.74,Lauri Markkanen,SF,UTA
89,15,15,,,11.0,0.73,Bradley Beal,SG,WAS
