,GP  Games played,GS  Games started,BLK  Total Blocks,BPG  Blocks Per Game,MPG  Minutes Per Game,PF  Total Personal Fouls,PFG  Personal Fouls Per Game,FLG  Flagrant Fouls,TF  Technical Fouls,EJ  Ejections,DSQ  Disqualifications,Player,Position,Team
0,17,2,2.0,0.12,,,,,,,,Josh Richardson,SG,SA
1,18,18,2.0,0.11,,,,,,,,Reggie Bullock,SF,DAL
2,19,19,2.0,0.11,,,,,,,,Keldon Johnson,SF,SA
3,19,1,2.0,0.11,,,,,,,,Davion Mitchell,PG,SAC
4,20,20,2.0,0.1,,,,,,,,R.J. Barrett,SF,NY
5,21,21,2.0,0.1,,,,,,,,Reggie Jackson,PG,LAC
6,20,3,2.0,0.1,,,,,,,,Tyus Jones,PG,MEM
7,20,0,2.0,0.1,,,,,,,,Bennedict Mathurin,SG,IND
8,21,0,2.0,0.1,,,,,,,,Jaylen Nowell,SG,MIN
9,23,6,2.0,0.09,,,,,,,,Collin Sexton,SG,UTA
10,15,0,1.0,0.07,,,,,,,,Isaiah Joe,SG,OKC
11,15,0,1.0,0.07,,,,,,,,Jordan McLaughlin,PG,MIN
12,14,0,1.0,0.07,,,,,,,,Zeke Nnaji,PF,DEN
13,15,1,1.0,0.07,,,,,,,,Davon Reed,SG,DEN
14,17,15,1.0,0.06,,,,,,,,Troy Brown Jr.,SF,LAL
15,18,3,1.0,0.06,,,,,,,,Amir Coffey,SG,LAC
16,17,1,1.0,0.06,,,,,,,,AJ Griffin,SF,ATL
17,16,1,1.0,0.06,,,,,,,,Caleb Houstan,SG,ORL
18,16,2,1.0,0.06,,,,,,,,Cory Joseph,SG,DET
19,16,16,1.0,0.06,,,,,,,,Zach LaVine,SG,CHI
20,18,4,1.0,0.06,,,,,,,,Tre Mann,PG,OKC
21,17,0,1.0,0.06,,,,,,,,Garrison Mathews,SF,HOU
22,17,2,1.0,0.06,,,,,,,,Kendrick Nunn,SG,LAL
23,19,1,1.0,0.05,,,,,,,,Josh Green,SG,DAL
24,20,0,1.0,0.05,,,,,,,,Damion Lee,SG,PHO
25,20,0,1.0,0.05,,,,,,,,Patty Mills,PG,BKN
26,21,21,0.0,0.0,,,,,,,,Bojan Bogdanovic,SF,DET
27,15,0,0.0,0.0,,,,,,,,Josh Christopher,SG,HOU
28,16,0,0.0,0.0,,,,,,,,Duncan Robinson,SG,MIA
29,18,18,,,37.3,53.0,2.9,0.0,5.0,0.0,1.0,Luka Doncic,PG,DAL
30,14,14,,,37.3,36.0,2.6,0.0,2.0,0.0,0.0,Fred VanVleet,PG,TOR
31,20,20,,,37.2,42.0,2.1,0.0,0.0,0.0,0.0,Mikal Bridges,SF,PHO
32,13,13,,,37.2,25.0,1.9,1.0,0.0,0.0,0.0,Terry Rozier,SG,CHA
33,20,20,,,36.9,52.0,2.6,1.0,4.0,0.0,1.0,Devin Booker,SG,PHO
34,19,19,,,36.9,47.0,2.5,0.0,0.0,0.0,0.0,Donovan Mitchell,SG,CLE
35,9,9,,,36.8,18.0,2.0,0.0,1.0,0.0,0.0,James Harden,PG,PHI
36,21,21,,,36.8,36.0,1.7,0.0,1.0,0.0,0.0,Dejounte Murray,PG,ATL
37,22,22,,,36.7,58.0,2.6,1.0,8.0,0.0,0.0,Kevin Durant,PF,BKN
38,20,20,,,36.6,61.0,3.1,1.0,0.0,0.0,0.0,OG Anunoby,SF,TOR
39,15,15,,,36.6,32.0,2.1,0.0,0.0,0.0,0.0,Bradley Beal,SG,WAS
40,18,18,,,36.6,38.0,2.1,0.0,0.0,0.0,0.0,Anfernee Simons,SG,POR
41,20,20,,,36.6,42.0,2.1,0.0,3.0,0.0,0.0,Jayson Tatum,PF,BOS
42,21,21,,,36.4,58.0,2.8,0.0,4.0,0.0,0.0,Anthony Edwards,SG,MIN
43,19,19,,,36.4,40.0,2.1,0.0,0.0,0.0,0.0,Jerami Grant,PF,POR
44,14,14,,,36.4,42.0,3.0,0.0,2.0,0.0,0.0,Kyrie Irving,PG,BKN
45,15,15,,,36.4,35.0,2.3,0.0,0.0,0.0,0.0,Tyrese Maxey,PG,PHI
46,21,21,,,36.3,60.0,2.9,0.0,2.0,0.0,0.0,Kyle Lowry,PG,MIA
47,15,15,,,35.9,35.0,2.3,0.0,2.0,0.0,0.0,Darius Garland,PG,CLE
48,20,20,,,35.8,50.0,2.5,0.0,1.0,0.0,0.0,Shai Gilgeous-Alexander,SG,OKC
49,20,20,,,35.8,58.0,2.9,0.0,2.0,0.0,1.0,Josh Hart,SF,POR
50,13,13,,,35.7,21.0,1.6,0.0,0.0,0.0,0.0,Jimmy Butler,SF,MIA
51,22,22,,,35.6,70.0,3.2,0.0,0.0,0.0,0.0,Royce O'Neale,PF,BKN
52,13,13,,,35.5,26.0,2.0,0.0,0.0,0.0,0.0,LeBron James,SF,LAL
53,19,19,,,35.4,54.0,2.8,0.0,1.0,0.0,0.0,Jaylen Brown,SF,BOS
54,13,13,,,35.4,41.0,3.2,1.0,0.0,0.0,0.0,Joel Embiid,C,PHI
55,20,20,,,35.4,29.0,1.5,0.0,3.0,0.0,0.0,Trae Young,PG,ATL
56,11,11,,,35.2,18.0,1.6,0.0,1.0,0.0,0.0,Damian Lillard,PG,POR
57,17,17,,,35.1,31.0,1.8,0.0,2.0,0.0,0.0,CJ McCollum,PG,NO
58,10,10,,,35.1,32.0,3.2,0.0,0.0,0.0,1.0,Pascal Siakam,C,TOR
59,20,20,,,34.9,53.0,2.7,0.0,4.0,1.0,0.0,DeMar DeRozan,SF,CHI
60,14,14,,,34.8,33.0,2.4,1.0,0.0,0.0,0.0,Paolo Banchero,PF,ORL
61,20,20,,,34.8,44.0,2.2,0.0,0.0,0.0,0.0,R.J. Barrett,SF,NY
62,19,19,,,34.6,65.0,3.4,0.0,1.0,0.0,1.0,Bam Adebayo,C,MIA
63,19,19,,,34.6,52.0,2.7,0.0,5.0,1.0,0.0,Kevin Porter,PG,HOU
64,19,19,,,34.5,38.0,2.0,0.0,3.0,0.0,0.0,Stephen Curry,PG,GS
65,17,17,,,34.5,51.0,3.0,0.0,1.0,0.0,0.0,Anthony Davis,C,LAL
66,20,20,,,34.4,51.0,2.6,0.0,1.0,0.0,0.0,Kyle Kuzma,PF,WAS
67,16,16,,,34.3,43.0,2.7,0.0,3.0,0.0,0.0,Paul George,SF,LAC
68,20,20,,,34.2,37.0,1.9,0.0,2.0,0.0,1.0,Jalen Green,SG,HOU
69,21,21,,,34.2,57.0,2.7,0.0,0.0,0.0,1.0,Evan Mobley,PF,CLE
70,16,16,,,34.1,41.0,2.6,1.0,0.0,0.0,0.0,Zach LaVine,SG,CHI
71,19,12,,,34.0,44.0,2.3,1.0,1.0,0.0,0.0,Max Strus,SG,MIA
72,19,19,,,33.9,41.0,2.2,0.0,0.0,0.0,0.0,Tobias Harris,PF,PHI
73,20,20,,,33.8,22.0,1.1,0.0,0.0,0.0,0.0,Tyrese Haliburton,PG,IND
74,21,21,,,33.8,82.0,3.9,0.0,4.0,0.0,3.0,Karl-Anthony Towns,PF,MIN
75,23,23,,,33.7,47.0,2.0,0.0,0.0,0.0,0.0,Lauri Markkanen,SF,UTA
76,12,12,,,33.6,29.0,2.4,0.0,0.0,0.0,0.0,Desmond Bane,SG,MEM
77,19,19,,,33.5,36.0,1.9,0.0,0.0,0.0,0.0,Dorian Finney-Smith,SF,DAL
78,12,12,,,33.3,34.0,2.8,0.0,0.0,0.0,0.0,Cade Cunningham,SG,DET
79,21,21,,,33.3,56.0,2.7,0.0,1.0,0.0,0.0,Franz Wagner,G,ORL
80,20,20,,,33.2,51.0,2.6,0.0,0.0,0.0,0.0,Jalen Brunson,PG,NY
81,19,19,,,33.2,59.0,3.1,0.0,0.0,0.0,0.0,Andrew Wiggins,SF,GS
82,17,16,,,33.1,25.0,1.5,0.0,1.0,0.0,0.0,Scottie Barnes,PF,TOR
83,20,20,,,33.1,69.0,3.5,1.0,2.0,0.0,1.0,Julius Randle,PF,NY
84,15,15,,,32.9,48.0,3.2,0.0,2.0,0.0,2.0,Wendell Carter Jr.,C,ORL
85,20,20,,,32.9,40.0,2.0,0.0,2.0,1.0,0.0,Caleb Martin,SF,MIA
86,17,17,,,32.9,31.0,1.8,0.0,3.0,0.0,0.0,Ja Morant,PG,MEM
87,3,3,,,32.7,8.0,2.7,0.0,0.0,0.0,0.0,LaMelo Ball,PG,CHA
88,16,16,,,32.6,53.0,3.3,0.0,0.0,0.0,1.0,Giannis Antetokounmpo,PF,MIL
89,19,19,,,32.6,72.0,3.8,0.0,0.0,0.0,3.0,Domantas Sabonis,C,SAC
