,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,Player,Position,Team
0,16,2,13.9,4.7,28.0,67.0,41.8,10.0,26.0,38.5,9.0,14.0,64.3,,,,,Cory Joseph,SG,DET
1,20,0,11.0,4.6,30.0,71.0,42.3,21.0,55.0,38.2,10.0,10.0,100.0,,,,,Patty Mills,PG,BKN
2,14,2,14.4,4.6,28.0,38.0,73.7,0.0,0.0,—,8.0,10.0,80.0,,,,,Jericho Sims,C,NY
3,15,0,14.3,4.5,22.0,57.0,38.6,13.0,38.0,34.2,10.0,15.0,66.7,,,,,Oshae Brissett,SF,IND
4,19,1,17.8,4.5,33.0,80.0,41.3,12.0,26.0,46.2,8.0,11.0,72.7,,,,,Aaron Holiday,PG,ATL
5,21,1,18.5,4.4,32.0,78.0,41.0,20.0,57.0,35.1,8.0,13.0,61.5,,,,,Nicolas Batum,PF,LAC
6,20,0,13.3,4.4,36.0,76.0,47.4,5.0,26.0,19.2,10.0,15.0,66.7,,,,,Jalen Johnson,SF,ATL
7,18,1,16.1,4.3,29.0,49.0,59.2,7.0,9.0,77.8,13.0,21.0,61.9,,,,,Usman Garuba,PF,HOU
8,14,0,11.4,4.3,23.0,44.0,52.3,6.0,14.0,42.9,8.0,13.0,61.5,,,,,Serge Ibaka,PF,MIL
9,15,7,9.1,4.2,26.0,45.0,57.8,0.0,0.0,—,11.0,20.0,55.0,,,,,JaVale McGee,C,DAL
10,14,14,27.4,4.1,17.0,64.0,26.6,10.0,42.0,23.8,14.0,17.0,82.4,,,,,Patrick Beverley,PG,LAL
11,16,1,18.6,4.1,21.0,57.0,36.8,15.0,42.0,35.7,8.0,10.0,80.0,,,,,Caleb Houstan,SG,ORL
12,21,4,19.3,4.0,27.0,72.0,37.5,6.0,32.0,18.8,23.0,28.0,82.1,,,,,Isaac Okoro,SG,CLE
13,20,9,16.5,3.9,27.0,61.0,44.3,0.0,4.0,0.0,23.0,36.0,63.9,,,,,Christian Koloko,C,TOR
14,15,0,15.8,3.9,23.0,53.0,43.4,7.0,29.0,24.1,6.0,6.0,100.0,,,,,Jordan McLaughlin,PG,MIN
15,18,3,13.1,3.8,21.0,50.0,42.0,3.0,12.0,25.0,24.0,30.0,80.0,,,,,Amir Coffey,SG,LAC
16,15,1,10.2,3.8,24.0,38.0,63.2,0.0,0.0,—,9.0,12.0,75.0,,,,,Robin Lopez,C,CLE
17,17,4,13.2,3.7,26.0,46.0,56.5,2.0,11.0,18.2,9.0,11.0,81.8,,,,,Anthony Gill,PF,WAS
18,16,0,15.9,3.4,18.0,56.0,32.1,14.0,44.0,31.8,5.0,6.0,83.3,,,,,Wesley Matthews,SG,MIL
19,21,21,28.7,3.4,28.0,62.0,45.2,12.0,31.0,38.7,3.0,4.0,75.0,,,,,P.J. Tucker,PF,PHI
20,16,2,12.7,3.3,22.0,43.0,51.2,0.0,0.0,—,8.0,17.0,47.1,,,,,Bismack Biyombo,C,PHO
21,19,0,13.8,3.2,23.0,56.0,41.1,7.0,20.0,35.0,7.0,13.0,53.8,,,,,Christian Braun,SG,DEN
22,18,0,14.8,3.2,18.0,52.0,34.6,14.0,35.0,40.0,7.0,10.0,70.0,,,,,Daishen Nix,PG,HOU
