,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,Player,Position,Team
0,19,19,37.4,33.5,218,432,50.5,46,146,31.5,154,213,72.3,Luka Doncic,PG,DAL
1,20,20,34.7,31.4,214,413,51.8,103,236,43.6,97,107,90.7,Stephen Curry,PG,GS
2,20,20,35.8,31.1,215,425,50.6,21,62,33.9,170,185,91.9,Shai Gilgeous-Alexander,SG,OKC
3,16,16,32.6,30.9,182,341,53.4,11,48,22.9,120,200,60.0,Giannis Antetokounmpo,PF,MIL
4,20,20,36.6,30.8,201,418,48.1,66,190,34.7,147,169,87.0,Jayson Tatum,PF,BOS
5,22,22,36.7,30.0,233,425,54.8,36,104,34.6,158,172,91.9,Kevin Durant,PF,BKN
6,19,19,36.9,28.9,191,391,48.8,71,173,41.0,97,110,88.2,Donovan Mitchell,SG,CLE
7,17,17,32.9,28.5,168,356,47.2,30,81,37.0,118,156,75.6,Ja Morant,PG,MEM
8,20,20,36.9,27.9,198,421,47.0,45,128,35.2,117,133,88.0,Devin Booker,SG,PHO
9,20,20,35.4,27.7,176,434,40.6,45,144,31.3,157,174,90.2,Trae Young,PG,ATL
10,17,17,34.5,26.2,168,294,57.1,4,19,21.1,106,130,81.5,Anthony Davis,C,LAL
11,20,20,34.9,26.2,187,364,51.4,10,31,32.3,139,158,88.0,DeMar DeRozan,SF,CHI
12,19,19,35.4,26.1,187,369,50.7,43,125,34.4,79,95,83.2,Jaylen Brown,SF,BOS
13,18,18,32.1,24.3,163,312,52.2,36,94,38.3,75,91,82.4,De'Aaron Fox,PG,SAC
14,19,19,36.9,23.9,155,361,42.9,79,206,38.3,65,74,87.8,Anfernee Simons,SG,POR
15,16,16,34.3,23.6,132,288,45.8,45,121,37.2,69,81,85.2,Paul George,SF,LAC
16,15,15,36.6,23.5,134,254,52.8,28,74,37.8,56,62,90.3,Bradley Beal,SG,WAS
17,17,17,32.0,23.0,144,231,62.3,10,34,29.4,93,110,84.5,Nikola Jokic,C,DEN
18,15,15,35.9,22.9,115,261,44.1,43,106,40.6,71,83,85.5,Darius Garland,PG,CLE
