,GP  Games played,GS  Games started,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,STL  Total Steals,SPG  Steals Per Game,Player,Position,Team
0,16,0,9.0,0.6,14.0,0.9,0.6,,,Chris Boucher,C,TOR
1,15,0,9.0,0.6,11.0,0.7,0.8,,,Josh Christopher,SG,HOU
2,20,0,11.0,0.6,19.0,1.0,0.6,,,Jalen Duren,C,DET
3,17,4,10.0,0.6,4.0,0.2,2.5,,,Anthony Gill,PF,WAS
4,21,6,13.0,0.6,12.0,0.6,1.1,,,Isaiah Livers,SF,DET
5,16,0,9.0,0.6,6.0,0.4,1.5,,,Wesley Matthews,SG,MIL
6,18,1,10.0,0.6,19.0,1.1,0.5,,,Moses Moody,SF,GS
7,18,0,10.0,0.6,14.0,0.8,0.7,,,Paul Reed,SF,PHI
8,15,0,9.0,0.6,10.0,0.7,0.9,,,Naz Reid,C,MIN
9,20,0,11.0,0.6,12.0,0.6,0.9,,,David Roddy,SF,MEM
10,18,5,9.0,0.5,11.0,0.6,0.8,,,Montrezl Harrell,C,PHI
11,15,0,8.0,0.5,3.0,0.2,2.7,,,Derrick Jones Jr.,SF,CHI
12,20,9,9.0,0.5,12.0,0.6,0.8,,,Christian Koloko,C,TOR
13,15,1,8.0,0.5,8.0,0.5,1.0,,,Robin Lopez,C,CLE
14,21,4,11.0,0.5,16.0,0.8,0.7,,,Isaac Okoro,SG,CLE
15,17,13,9.0,0.5,12.0,0.7,0.8,,,Dwight Powell,C,DAL
16,15,1,7.0,0.5,12.0,0.8,0.6,,,Davon Reed,SG,DEN
17,20,5,10.0,0.5,15.0,0.8,0.7,,,Shaedon Sharpe,SG,POR
18,15,2,7.0,0.5,7.0,0.5,1.0,,,Jericho Sims,C,NY
19,17,3,8.0,0.5,2.0,0.1,4.0,,,Matisse Thybulle,SF,PHI
20,15,6,6.0,0.4,18.0,1.2,0.3,,,MarJon Beauchamp,SG,MIL
21,15,0,6.0,0.4,5.0,0.3,1.2,,,Oshae Brissett,SF,IND
22,21,0,8.0,0.4,20.0,1.0,0.4,,,Daniel Gafford,C,WAS
23,17,0,7.0,0.4,6.0,0.4,1.2,,,Garrison Mathews,SF,HOU
24,17,0,6.0,0.4,9.0,0.5,0.7,,,Josh Okogie,SF,PHO
25,14,0,4.0,0.3,8.0,0.6,0.5,,,Serge Ibaka,PF,MIL
26,15,7,4.0,0.3,15.0,1.0,0.3,,,JaVale McGee,C,DAL
27,15,1,5.0,0.3,10.0,0.7,0.5,,,Noah Vonleh,C,BOS
28,14,0,2.0,0.1,7.0,0.5,0.3,,,Zeke Nnaji,PF,DEN
29,20,20,,,,,,47.0,2.35,OG Anunoby,SF,TOR
30,19,12,,,,,,40.0,2.11,De'Anthony Melton,SG,PHI
31,21,21,,,,,,40.0,1.9,Dejounte Murray,PG,ATL
32,19,19,,,,,,35.0,1.84,Luka Doncic,PG,DAL
33,20,20,,,,,,36.0,1.8,Tyrese Haliburton,PG,IND
34,15,11,,,,,,27.0,1.8,Dennis Smith Jr.,PG,CHA
35,14,14,,,,,,25.0,1.79,Fred VanVleet,PG,TOR
36,21,21,,,,,,36.0,1.71,Kelly Oubre Jr.,SG,CHA
37,20,20,,,,,,34.0,1.7,Shai Gilgeous-Alexander,SG,OKC
38,15,14,,,,,,24.0,1.6,Jrue Holiday,PG,MIL
39,17,16,,,,,,27.0,1.59,Gary Trent Jr.,SG,TOR
40,16,16,,,,,,25.0,1.56,Paul George,SF,LAC
41,17,17,,,,,,26.0,1.53,Anthony Davis,C,LAL
42,20,20,,,,,,30.0,1.5,Tre Jones,PG,SA
43,19,19,,,,,,28.0,1.47,Jevon Carter,PG,MIL
44,20,5,,,,,,29.0,1.45,Alex Caruso,SG,CHI
45,20,0,,,,,,29.0,1.45,Tari Eason,F,HOU
46,19,19,,,,,,27.0,1.42,Donovan Mitchell,SG,CLE
47,20,20,,,,,,28.0,1.4,Andrew Wiggins,SF,GS
48,21,21,,,,,,29.0,1.38,Josh Hart,SF,POR
49,20,20,,,,,,27.0,1.35,Caleb Martin,SF,MIA
50,15,15,,,,,,20.0,1.33,Bradley Beal,SG,WAS
51,15,15,,,,,,20.0,1.33,Darius Garland,PG,CLE
52,19,19,,,,,,25.0,1.32,Tobias Harris,PF,PHI
53,19,19,,,,,,25.0,1.32,Kevin Porter,PG,HOU
54,21,21,,,,,,27.0,1.29,Luguentz Dort,SF,OKC
55,21,21,,,,,,27.0,1.29,Anthony Edwards,SG,MIN
56,17,17,,,,,,22.0,1.29,Nikola Jokic,C,DEN
57,21,21,,,,,,27.0,1.29,D'Angelo Russell,PG,MIN
58,23,23,,,,,,29.0,1.26,Kelly Olynyk,PF,UTA
59,20,20,,,,,,25.0,1.25,Mikal Bridges,SF,PHO
60,16,16,,,,,,20.0,1.25,Herbert Jones,SG,NO
61,17,17,,,,,,21.0,1.24,CJ McCollum,PG,NO
62,17,12,,,,,,21.0,1.24,Ben Simmons,PG,BKN
63,19,0,,,,,,23.0,1.21,T.J. McConnell,PG,IND
64,17,17,,,,,,20.0,1.18,Mike Conley,PG,UTA
65,22,22,,,,,,26.0,1.18,Royce O'Neale,PF,BKN
66,17,7,,,,,,20.0,1.18,Thaddeus Young,PF,TOR
67,18,18,,,,,,21.0,1.17,De'Aaron Fox,PG,SAC
68,18,0,,,,,,21.0,1.17,Paul Reed,SF,PHI
69,19,19,,,,,,22.0,1.16,Kentavious Caldwell-Pope,SG,DEN
70,20,20,,,,,,23.0,1.15,Devin Booker,SG,PHO
71,21,21,,,,,,24.0,1.14,Kyle Lowry,PG,MIA
72,21,0,,,,,,24.0,1.14,Immanuel Quickley,PG,NY
73,23,10,,,,,,26.0,1.13,Killian Hayes,PG,DET
74,16,16,,,,,,18.0,1.13,Zach LaVine,SG,CHI
75,19,19,,,,,,21.0,1.11,Kevin Huerter,SG,SAC
76,19,19,,,,,,21.0,1.11,Jaden Ivey,SG,DET
77,19,19,,,,,,21.0,1.11,Jaden McDaniels,SF,MIN
78,21,21,,,,,,23.0,1.1,Jarred Vanderbilt,C,UTA
79,20,5,,,,,,22.0,1.1,Jose Alvarado,PG,NO
80,21,21,,,,,,23.0,1.1,Jalen Brunson,PG,NY
81,20,20,,,,,,22.0,1.1,Stephen Curry,PG,GS
82,20,20,,,,,,22.0,1.1,Spencer Dinwiddie,PG,DAL
83,15,15,,,,,,16.0,1.07,Zion Williamson,PF,NO
84,17,17,,,,,,18.0,1.06,Ja Morant,PG,MEM
85,18,8,,,,,,19.0,1.06,Trey Murphy III,SF,NO
86,16,16,,,,,,17.0,1.06,Jamal Murray,PG,DEN
87,18,3,,,,,,19.0,1.06,Russell Westbrook,PG,LAL
88,18,8,,,,,,19.0,1.06,Justise Winslow,SF,POR
89,20,8,,,,,,21.0,1.05,Bruce Brown,SF,DEN
90,19,19,,,,,,20.0,1.05,Jaylen Brown,SF,BOS
91,20,20,,,,,,21.0,1.05,DeMar DeRozan,SF,CHI
92,20,20,,,,,,21.0,1.05,Dorian Finney-Smith,SF,DAL
93,20,20,,,,,,21.0,1.05,Buddy Hield,SG,IND
94,19,19,,,,,,20.0,1.05,Marcus Smart,PG,BOS
95,23,2,,,,,,24.0,1.04,Malik Beasley,SG,UTA
96,19,19,,,,,,19.0,1.0,Bam Adebayo,C,MIA
97,20,0,,,,,,20.0,1.0,Javonte Green,PF,CHI
98,19,19,,,,,,19.0,1.0,Keldon Johnson,SF,SA
99,15,15,,,,,,15.0,1.0,Tyrese Maxey,PG,PHI
100,19,19,,,,,,19.0,1.0,Anfernee Simons,SG,POR
101,17,0,,,,,,17.0,1.0,John Wall,PG,LAC
102,19,15,,,,,,18.0,0.95,Santi Aldama,PF,MEM
103,20,20,,,,,,19.0,0.95,Draymond Green,PF,GS
104,19,11,,,,,,18.0,0.95,John Konchar,SG,MEM
105,21,3,,,,,,20.0,0.95,Jalen McDaniels,PF,CHA
106,21,21,,,,,,20.0,0.95,Evan Mobley,PF,CLE
107,20,20,,,,,,19.0,0.95,Jeremy Sochan,PF,SA
108,16,2,,,,,,15.0,0.94,Kyle Anderson,SF,MIN
109,16,16,,,,,,15.0,0.94,Giannis Antetokounmpo,PF,MIL
110,17,16,,,,,,16.0,0.94,Scottie Barnes,PF,TOR
111,17,1,,,,,,16.0,0.94,AJ Griffin,SF,ATL
112,18,10,,,,,,17.0,0.94,Cameron Payne,PG,PHO
113,17,17,,,,,,16.0,0.94,Lonnie Walker IV,SF,LAL
114,20,1,,,,,,18.0,0.9,Josh Green,SG,DAL
115,20,20,,,,,,18.0,0.9,Jakob Poeltl,C,SA
116,18,1,,,,,,16.0,0.89,Usman Garuba,PF,HOU
